date,format,country,counterparty,message
8/15/2024,message,Brazil,President Lula,congratulations on the 50th anniversary of the diplomatic relations
8/20/2024,visit in Beijing,Fiji,Prime Minister Rabuka,official visit
8/20/2024,visit in Beijing,2024 interregional seminar on the achievement of the Sustainable Development Goals (SDGs) for parliaments of developing countries,foreign parliamentary leaders,visit
8/23/2024,phone,UK,Prime Minister Starmer,meeting
8/27/2024,letter,50 African countries,Scholars,reply a letter
8/29/2024,visit in Beijing,US,National Security Advisor Sullivan,meeting
9/2/2024,visit in Beijing,Democratic Republic of the Congo (DRC),President Tshisekedi,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Mali,President Goita,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Comoros,President Assoumani,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Togo,President Gnassingbe,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Djibouti,President Guelleh,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,South Africa,President Ramaphosa,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Seychelles,President Ramkalawan,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Eritrea,President Afwerki,2024 Summit of the Forum on China-Africa Cooperation
9/2/2024,visit in Beijing,Guinea,President Doumbouya,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Zimbabwe,President Mnangagwa,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Kenya,President Ruto,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Chad,President Itno,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Malawi,President Chakwera,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,African Union (AU) Commission,chairperson Mahamat,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Nigeria,President Tinubu,2024 Summit of the Forum on China-Africa Cooperation
9/3/2024,visit in Beijing,Mauritania,President Ghazouani,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Senegal,President Faye,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Sierra Leone,President Bio,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Equatorial Guinea,President Mbasogo,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Tanzania,President Hassan,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Zambia,President Hichilema,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Mozambique,President Nyusi,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Ethiopia,Prime Minister Ahmed,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Tanzania and Zambia,President Hassan and President Hichilema,the signing of a memorandum of understanding (MoU) on the revitalization project of the Tanzania-Zambia Railway Authority (TAZARA) railway
9/4/2024,visit in Beijing,Libya,President al-Menfi,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Gabon,President Nguema,2024 Summit of the Forum on China-Africa Cooperation
9/4/2024,visit in Beijing,Cameroon,President Biya,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Botswana,President Masisi,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,UN,Secretary-General Antonio Guterres,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Namibia,President Mbumba,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Ghana,President Akufo-Addo,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Rwanda,President Kagame,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Guinea-Bissau,President Embalo,2024 Summit of the Forum on China-Africa Cooperation
9/5/2024,visit in Beijing,Sao Tome and Principe,Prime Minister Trovoada,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Republic of Congo,President Nguesso,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Somalia,President Mohamud,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Burundi,President Ndayishimiye,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Liberia,President Boakai,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Sudan,chairman of Sudan's Sovereignty Council Al-Burhan,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Madagascar,President Rajoelina,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Gambia,President Barrow,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,Central African Republic,President Touadera,2024 Summit of the Forum on China-Africa Cooperation
9/6/2024,visit in Beijing,South Sudan,President Kiir,2024 Summit of the Forum on China-Africa Cooperation
9/9/2024,visit in Beijing,Norway,Prime Minister Store,official visit
9/9/2024,visit in Beijing,Spain,Prime Minister Sanchez,official visit
9/9/2024,message,North Korea,President Kim Jong Un,congratulations on the 76th founding anniversary
9/11/2024,message,Algeria,President Tebboune,congratulations on re-election
9/20/2024,visit in Beijing,Malaysia,Sultan Ibrahim Sultan Iskandar,official visit
10/1/2024,message,Japan,Prime Minister Ishiba,congratulations on electioin
10/2/2024,message,Russia,President Putin,congratulations on the 75th anniversary of diplomatic ties
10/6/2024,message,North Korea,President Kim Jong Un,congratulations on the 75th anniversary of diplomatic ties
10/9/2024,message,Tunisia,President Saied,congratulations on the re-election as president
10/11/2024,visit in Beijing,Vietnam,permanent member of the CPV Central Committee Secretariat Cuong,meeting
10/11/2024,visit in Beijing,foreign guests,foreign guests attending the China International Friendship Conference,meeting
10/12/2024,message,Ethiopia,President Selassie,congratulations on the election
10/14/2024,phone,Indonesia,President Widodo,phone talks
10/15/2024,message,National Committee on U.S.-China Relations,National Committee on U.S.-China Relations,Congratulations on the annual Gala
10/16/2024,message,Mongolia,President Khurelsukh,congratulations on the 75th anniversary of diplomatic ties
10/20/2024,message,Indonesia,President Subianto,congraultations on assuming presidency
10/22/2024,message,Vietnam,President Luong,congratulations on assuming office
10/22/2024,meet in Kazan Russia,Laos,President Sisoulith,meeting in 16th BRICS Summit
10/22/2024,meet in Kazan Russia,Russia,President Putin,meeting in 16th BRICS Summit
10/23/2024,talks in BRICS,BRICS,BRICS summit,the 16th BRICS summit
10/23/2024,meet in Kazan Russia,Iran,President Pezeshkian,meeting in 16th BRICS Summit
10/23/2024,meet in Kazan Russia,Egypt,President al-Sisi,meeting in 16th BRICS Summit
10/23/2024,meet in Kazan Russia,India,Prime Minister Modi,meeting in 16th BRICS Summit
10/24/2024,talk in BRICS,BRICS,BRICS summit,the 16th BRICS summit
